5,Numer,Dzien,Miesiac,Rok,L1,L2,L3,L4,L5,L6
0,17,26,5,1957,16,24,25,29,32,36
0,2065,19,1,1985,10,16,24,25,32,36
1,25,21,7,1957,3,6,13,22,27,33
1,2251,1,11,1986,3,13,22,27,30,33
2,41,10,11,1957,8,19,28,30,31,47
2,3624,29,12,1999,8,19,28,31,41,47
2,4789,29,12,2009,8,16,19,30,31,47
3,54,16,2,1958,2,8,11,39,41,45
3,1270,12,6,1977,2,7,8,11,39,41
4,56,2,3,1958,11,14,19,22,23,25
4,3337,29,3,1997,3,11,14,22,23,25
5,61,13,4,1958,3,15,18,35,42,43
5,2711,30,3,1991,3,18,35,36,42,43
6,71,22,6,1958,2,14,22,44,48,49
6,5256,22,12,2012,2,14,22,43,44,48
7,74,13,7,1958,9,16,21,24,27,35
7,2501,25,3,1989,9,16,21,22,27,35
8,76,27,7,1958,19,21,22,25,36,44
8,4077,1,5,2004,8,21,22,25,36,44
8,4144,22,12,2004,21,22,25,26,36,44
9,77,3,8,1958,2,4,22,31,32,43
9,4880,29,7,2010,2,4,22,30,31,32
10,79,17,8,1958,34,35,37,38,39,45
10,1186,22,8,1976,27,34,35,38,39,45
11,80,24,8,1958,17,21,27,35,41,49
11,3593,11,9,1999,12,17,21,35,41,49
11,5243,22,11,2012,7,17,21,27,41,49
12,98,28,12,1958,2,22,23,33,41,43
12,2674,24,11,1990,2,22,33,41,43,46
13,103,1,2,1959,7,11,25,34,37,45
13,1887,8,5,1983,6,11,25,34,37,45
14,112,5,4,1959,13,26,30,32,45,46
14,2380,30,1,1988,13,26,30,32,34,46
15,119,24,5,1959,5,17,20,23,32,34
15,3447,18,4,1998,5,9,20,23,32,34
15,4617,22,11,2008,17,20,23,32,34,48
16,125,5,7,1959,6,23,25,29,30,34
16,5924,30,3,2017,6,18,23,25,30,34
17,131,16,8,1959,1,2,4,5,23,36
17,1175,11,7,1976,1,2,5,12,23,36
18,134,6,9,1959,8,13,20,21,23,26
18,2188,29,3,1986,8,13,20,21,23,31
19,151,3,1,1960,3,6,11,15,27,48
19,2311,30,5,1987,3,6,11,15,27,34
19,5114,26,1,2012,3,6,15,27,37,48
20,163,27,3,1960,7,18,20,25,29,46
20,3254,12,6,1996,18,20,25,29,30,46
21,166,17,4,1960,1,14,28,34,41,43
21,4855,1,6,2010,1,14,25,28,34,41
22,175,19,6,1960,13,14,27,31,35,40
22,5316,11,5,2013,13,14,27,30,31,35
23,185,28,8,1960,5,9,10,29,39,41
23,4725,1,8,2009,5,9,10,20,29,39
24,206,22,1,1961,5,15,27,37,45,48
24,5410,17,12,2013,5,15,16,27,45,48
25,207,29,1,1961,6,14,16,26,34,42
25,968,9,6,1974,6,14,24,26,34,42
26,210,19,2,1961,3,22,23,28,40,43
26,5942,11,5,2017,3,22,23,28,38,43
27,223,21,5,1961,2,7,9,23,26,47
27,5812,12,7,2016,2,7,9,23,42,47
28,228,25,6,1961,12,18,21,22,30,45
28,3534,17,2,1999,12,18,22,30,38,45
29,239,10,9,1961,7,13,18,21,23,24
29,631,16,2,1969,7,12,13,18,21,24
30,242,1,10,1961,5,14,21,26,40,44
30,954,7,4,1974,5,14,21,26,35,40
31,252,10,12,1961,5,7,17,19,36,39
31,1747,3,1,1982,5,7,17,18,19,36
32,253,17,12,1961,7,27,32,34,36,41
32,3206,27,12,1995,7,27,30,34,36,41
32,4332,11,10,2006,7,27,34,36,41,46
33,263,25,2,1962,2,5,8,15,22,28
33,6491,12,11,2020,3,5,8,15,22,28
34,277,3,6,1962,12,18,25,30,32,39
34,4533,10,5,2008,3,18,25,30,32,39
35,281,1,7,1962,5,8,22,33,39,48
35,4336,25,10,2006,1,5,22,33,39,48
36,284,22,7,1962,6,9,30,31,34,39
36,6116,21,6,2018,6,9,22,30,34,39
37,290,2,9,1962,1,6,10,15,28,32
37,5475,17,5,2014,1,6,12,15,28,32
38,299,4,11,1962,17,31,37,46,47,49
38,2688,12,1,1991,17,31,35,46,47,49
39,308,6,1,1963,9,13,19,31,35,40
39,6037,19,12,2017,9,13,31,34,35,40
40,315,24,2,1963,4,32,34,44,45,47
40,429,25,4,1965,27,32,34,44,45,47
41,318,17,3,1963,2,9,10,14,32,39
41,2847,18,7,1992,2,9,10,14,33,39
42,325,5,5,1963,1,27,34,40,44,46
42,4879,27,7,2010,1,6,27,34,40,46
43,338,4,8,1963,1,5,17,23,37,48
43,6511,29,12,2020,1,17,23,37,45,48
44,340,18,8,1963,13,18,20,23,27,40
44,6300,24,8,2019,13,18,23,27,40,48
45,349,20,10,1963,6,10,15,19,34,43
45,2633,30,6,1990,6,10,15,32,34,43
46,363,26,1,1964,4,7,11,24,31,39
46,1893,29,5,1983,4,7,11,19,24,31
47,381,31,5,1964,8,21,25,29,35,36
47,1987,22,4,1984,8,14,21,29,35,36
48,391,9,8,1964,7,18,30,31,33,46
48,1748,10,1,1982,7,18,30,33,44,46
49,401,18,10,1964,6,14,21,28,30,34
49,893,10,6,1973,6,14,21,28,34,38
50,315,24,2,1963,4,32,34,44,45,47
50,429,25,4,1965,27,32,34,44,45,47
51,430,2,5,1965,5,7,11,15,16,38
51,3003,15,1,1994,7,11,13,15,16,38
52,434,30,5,1965,9,12,18,36,44,45
52,3135,22,4,1995,9,18,22,36,44,45
53,441,18,7,1965,2,4,6,17,27,49
53,5836,6,9,2016,2,4,6,17,34,49
54,466,9,1,1966,17,23,26,30,31,32
54,6110,7,6,2018,23,26,30,31,32,35
54,6407,30,4,2020,10,17,23,26,30,32
55,478,27,3,1966,6,9,20,34,40,42
55,6334,12,11,2019,9,20,34,40,42,43
56,500,28,8,1966,18,22,23,26,28,41
56,1387,23,7,1978,18,22,23,26,28,48
57,502,11,9,1966,4,7,9,13,28,49
57,3153,24,6,1995,7,9,13,15,28,49
58,503,18,9,1966,3,10,11,12,28,29
58,5021,23,6,2011,3,11,12,28,29,43
59,549,30,7,1967,15,20,29,33,39,46
59,5043,13,8,2011,15,20,29,33,34,46
60,550,6,8,1967,2,20,30,44,47,49
60,5835,3,9,2016,2,20,37,44,47,49
61,584,24,3,1968,2,9,12,23,24,32
61,3131,8,4,1995,2,9,12,23,24,47
62,586,7,4,1968,2,20,21,23,38,49
62,2451,1,10,1988,2,20,21,38,48,49
63,594,2,6,1968,13,15,25,29,37,40
63,1481,17,6,1979,13,15,16,25,29,37
64,602,28,7,1968,2,24,26,36,37,46
64,2231,23,8,1986,2,24,26,37,40,46
64,4582,2,9,2008,24,26,33,36,37,46
65,603,4,8,1968,3,12,14,29,32,41
65,3810,10,10,2001,3,12,14,28,29,41
66,618,17,11,1968,6,16,21,30,40,47
66,5672,20,8,2015,6,16,21,30,47,48
67,239,10,9,1961,7,13,18,21,23,24
67,631,16,2,1969,7,12,13,18,21,24
68,639,6,4,1969,3,19,24,41,42,45
68,4047,17,1,2004,3,19,24,31,41,45
69,645,18,5,1969,6,25,26,33,34,35
69,4801,26,1,2010,6,23,25,26,33,35
70,674,7,12,1969,4,13,15,25,27,31
70,3797,25,8,2001,4,15,25,27,31,33
71,677,21,12,1969,3,28,32,36,37,40
71,6411,9,5,2020,8,28,32,36,37,40
72,679,4,1,1970,3,13,19,22,32,36
72,4415,28,7,2007,3,19,22,23,32,36
73,694,12,4,1970,4,11,25,31,36,43
73,3391,4,10,1997,4,11,25,28,36,43
74,704,21,6,1970,1,10,22,30,45,47
