Numer;Dzien;Miesiac;Rok;L1;L2;L3;L4;L5;L6
1;27;1;1957;8;12;31;39;43;45
2;3;2;1957;5;10;11;22;25;27
3;10;2;1957;18;19;20;26;45;49
4;17;2;1957;2;11;14;37;40;45
5;24;2;1957;8;10;15;35;39;49
6;3;3;1957;24;26;31;35;43;47
7;10;3;1957;13;20;23;29;38;44
8;17;3;1957;8;13;15;22;38;47
9;24;3;1957;3;10;27;29;34;42
10;31;3;1957;4;5;6;13;23;25
11;7;4;1957;1;7;13;15;21;39
12;14;4;1957;2;4;31;38;39;46
13;28;4;1957;15;18;22;26;33;38
14;5;5;1957;2;4;11;18;25;48
15;12;5;1957;2;8;28;31;32;33
16;19;5;1957;10;13;19;21;32;34
17;26;5;1957;16;24;25;29;32;36
18;2;6;1957;10;11;12;31;32;33
19;9;6;1957;5;16;23;30;32;46
20;16;6;1957;3;5;11;14;33;48
21;23;6;1957;4;9;16;19;28;39
22;30;6;1957;13;19;21;24;30;36
23;7;7;1957;8;14;24;26;30;33
24;14;7;1957;1;11;14;25;44;49
25;21;7;1957;3;6;13;22;27;33
26;28;7;1957;1;13;19;21;27;35
27;4;8;1957;2;5;15;20;30;48
28;11;8;1957;4;19;21;32;34;37
29;18;8;1957;1;6;17;27;40;44
30;25;8;1957;8;20;39;41;45;49
31;1;9;1957;5;16;17;38;40;48
32;8;9;1957;6;16;21;25;43;48
33;15;9;1957;5;10;16;18;40;42
34;22;9;1957;1;15;16;19;47;48
35;29;9;1957;4;12;30;35;46;48
36;6;10;1957;2;8;9;12;16;30
37;13;10;1957;18;22;27;31;35;36
38;20;10;1957;22;24;37;40;41;45
39;27;10;1957;1;9;14;27;32;34
40;3;11;1957;13;21;28;36;39;40
41;10;11;1957;8;19;28;30;31;47
42;17;11;1957;1;7;9;14;45;48
43;24;11;1957;2;6;18;20;40;49
44;1;12;1957;5;8;14;26;32;44
45;8;12;1957;11;17;24;35;42;47
46;15;12;1957;7;12;19;36;42;49
47;22;12;1957;8;15;24;27;37;46
48;5;1;1958;2;20;22;36;37;45
49;12;1;1958;1;24;30;37;47;48
50;19;1;1958;9;15;29;33;43;44
51;26;1;1958;12;34;35;43;44;49
52;2;2;1958;1;15;29;30;31;33
53;9;2;1958;1;21;22;25;34;47
54;16;2;1958;2;8;11;39;41;45
55;23;2;1958;8;26;28;36;43;49
56;2;3;1958;11;14;19;22;23;25
57;9;3;1958;5;8;10;26;30;42
58;16;3;1958;2;6;9;36;38;42
59;23;3;1958;3;7;9;25;42;48
60;30;3;1958;4;8;10;32;42;45
61;13;4;1958;3;15;18;35;42;43
62;20;4;1958;4;5;9;19;27;32
63;27;4;1958;13;16;35;40;41;42
64;4;5;1958;4;28;38;40;45;46
65;11;5;1958;8;17;22;27;31;41
66;18;5;1958;1;2;8;17;28;40
67;25;5;1958;7;16;27;33;41;43
68;1;6;1958;1;20;41;42;43;44
69;8;6;1958;13;14;25;29;33;47
70;15;6;1958;17;23;29;39;41;45
71;22;6;1958;2;14;22;44;48;49
72;29;6;1958;3;7;13;15;16;47
73;6;7;1958;10;11;28;38;48;49
74;13;7;1958;9;16;21;24;27;35
75;20;7;1958;1;7;17;18;29;33
76;27;7;1958;19;21;22;25;36;44
77;3;8;1958;2;4;22;31;32;43
78;10;8;1958;4;9;16;26;27;46
79;17;8;1958;34;35;37;38;39;45
